iter	Logloss
0	0.6845786531
1	0.6763429081
2	0.6684704323
3	0.663041141
4	0.6567373273
5	0.650560329
6	0.6448233285
7	0.6388396279
8	0.6338977468
9	0.6279418931
10	0.6222536029
11	0.6177238313
12	0.6125060434
13	0.6080358576
14	0.6036188353
15	0.5996100323
16	0.5952707887
17	0.5915514289
18	0.587628051
19	0.5848272362
20	0.5811895928
21	0.5780389522
22	0.575065762
23	0.5722387205
24	0.5696913555
25	0.5673304566
26	0.5650365186
27	0.5628984989
28	0.5610974663
29	0.5587886812
30	0.5563629057
31	0.5545891373
32	0.5526807502
33	0.550341736
34	0.548104533
35	0.54614657
36	0.5441806125
37	0.542396663
38	0.5405488035
39	0.5397523569
40	0.5388231241
41	0.5372751025
42	0.5362495655
43	0.5349121293
44	0.5336144153
45	0.5324994826
46	0.5312111368
47	0.5300878374
48	0.5291568216
49	0.5280894805
50	0.5271134482
51	0.5260566565
52	0.5250998421
53	0.5242444401
54	0.5233346394
55	0.5222397907
56	0.5213194153
57	0.5203408214
58	0.5194908698
59	0.5186811586
60	0.5179865005
61	0.5175249176
62	0.5172947864
63	0.5164752486
64	0.5159388142
65	0.5155090601
66	0.5147581181
67	0.5142417955
68	0.5136068244
69	0.5127861634
70	0.5122065233
71	0.51167341
72	0.5113963007
73	0.5110014175
74	0.5105512672
75	0.5099805202
76	0.5094538256
77	0.5089839169
78	0.5086775361
79	0.5082111377
80	0.507745996
81	0.5075076565
82	0.5070115501
83	0.5066972825
84	0.5063885175
85	0.5059769625
86	0.5057651591
87	0.5054115008
88	0.5049991251
89	0.5047637976
90	0.5045030248
91	0.5041840291
92	0.5038614758
93	0.5036454258
94	0.5034330732
95	0.5031474025
96	0.5027084497
97	0.5022317035
98	0.5020389357
99	0.5017197499
100	0.5014733701
101	0.5012078125
102	0.5009808018
103	0.5006967645
104	0.5005698159
105	0.5004077862
106	0.5002420771
107	0.4999782086
108	0.4994132476
109	0.4990730271
110	0.4988318572
111	0.498423087
112	0.4981642448
113	0.4979403834
114	0.4975667783
115	0.4973343762
116	0.4972095928
117	0.4970022592
118	0.4968799074
119	0.4966913088
120	0.4966243385
