iter	Passed	Remaining
0	207	207332
1	228	113874
2	248	82508
3	268	66884
4	288	57455
5	308	51174
6	328	46607
7	348	43191
8	368	40586
9	388	38502
10	407	36663
11	426	35132
12	446	33876
13	465	32773
14	484	31809
15	503	30956
16	522	30201
17	541	29534
18	560	28931
19	579	28407
20	598	27902
21	617	27460
22	637	27081
23	656	26688
24	675	26334
25	695	26045
26	715	25770
27	733	25479
28	753	25223
29	771	24960
30	791	24727
31	812	24570
32	832	24382
33	852	24224
34	871	24035
35	891	23875
36	911	23728
37	931	23579
38	950	23432
39	970	23295
40	981	22955
41	1000	22822
42	1021	22727
43	1040	22606
44	1060	22496
45	1080	22403
46	1096	22224
47	1115	22121
48	1135	22031
49	1153	21915
50	1172	21818
51	1191	21729
52	1211	21644
53	1234	21619
54	1244	21391
55	1264	21319
56	1284	21256
57	1303	21170
58	1322	21093
59	1342	21025
60	1361	20956
61	1381	20895
62	1392	20703
63	1410	20634
64	1430	20574
65	1449	20510
66	1468	20444
67	1487	20382
68	1506	20328
69	1526	20275
70	1545	20219
71	1567	20209
72	1589	20187
73	1612	20173
74	1634	20158
75	1656	20136
76	1678	20115
77	1697	20065
78	1716	20011
79	1735	19956
80	1754	19906
81	1774	19868
82	1795	19834
83	1814	19785
84	1825	19648
85	1844	19606
86	1863	19558
87	1882	19513
88	1902	19478
89	1923	19447
90	1943	19412
91	1961	19361
92	1980	19312
93	1999	19273
94	2024	19289
95	2046	19270
96	2066	19240
97	2089	19233
98	2111	19213
99	2129	19169
100	2148	19124
101	2168	19087
102	2187	19046
103	2207	19021
104	2226	18978
105	2245	18940
106	2264	18900
107	2284	18869
108	2304	18839
109	2324	18808
110	2342	18764
111	2362	18730
112	2381	18695
113	2401	18660
114	2420	18628
115	2439	18591
116	2458	18556
117	2479	18536
118	2499	18501
119	2518	18467
120	2534	18410
121	2554	18385
122	2573	18349
123	2594	18326
124	2614	18302
125	2634	18276
126	2655	18252
127	2674	18222
128	2694	18191
129	2713	18160
130	2733	18129
131	2752	18100
132	2772	18070
133	2791	18038
134	2811	18012
135	2830	17983
136	2849	17950
137	2869	17925
138	2888	17890
139	2907	17860
140	2927	17832
141	2945	17800
142	2966	17776
143	2986	17751
144	3006	17725
145	3025	17697
146	3032	17597
147	3052	17570
148	3071	17544
149	3090	17515
150	3109	17484
151	3128	17454
152	3148	17428
153	3166	17397
154	3186	17372
155	3205	17345
156	3224	17316
157	3244	17291
158	3264	17268
159	3284	17245
160	3303	17216
161	3318	17168
162	3338	17144
163	3358	17118
164	3377	17090
165	3396	17065
166	3415	17035
167	3435	17012
168	3455	16989
169	3475	16966
170	3495	16944
171	3513	16914
172	3532	16888
173	3553	16867
174	3572	16840
175	3592	16819
176	3612	16797
177	3631	16771
178	3651	16747
179	3670	16723
180	3690	16698
181	3709	16672
182	3728	16646
183	3747	16621
184	3767	16595
185	3786	16572
186	3805	16546
187	3825	16522
188	3844	16496
189	3863	16470
190	3882	16446
191	3902	16423
192	3921	16397
193	3941	16374
194	3960	16347
195	3978	16322
196	3999	16303
197	4020	16286
198	4041	16265
199	4060	16241
200	4081	16224
201	4100	16198
202	4119	16175
203	4139	16152
204	4159	16130
205	4178	16105
206	4197	16080
207	4217	16057
208	4237	16035
209	4256	16012
210	4275	15985
211	4294	15963
212	4315	15943
213	4334	15921
214	4342	15853
215	4348	15784
216	4367	15760
217	4387	15738
218	4407	15716
219	4425	15691
220	4445	15670
221	4452	15604
222	4471	15578
223	4490	15557
224	4510	15535
225	4529	15511
226	4548	15487
227	4567	15466
228	4587	15444
229	4594	15380
230	4613	15358
231	4635	15343
232	4654	15321
233	4673	15298
234	4693	15278
235	4712	15255
236	4731	15232
237	4751	15214
238	4771	15192
239	4790	15171
240	4809	15148
241	4829	15127
242	4850	15109
243	4870	15090
244	4890	15069
245	4909	15047
246	4962	15127
247	4981	15105
248	5001	15084
249	5021	15065
250	5040	15041
251	5059	15018
252	5078	14995
253	5098	14973
254	5117	14951
255	5137	14929
256	5155	14905
257	5174	14882
258	5195	14864
259	5214	14842
260	5234	14821
261	5255	14803
262	5276	14786
263	5296	14766
264	5316	14746
265	5336	14726
266	5356	14706
267	5376	14685
268	5396	14664
269	5416	14643
270	5436	14624
271	5456	14603
272	5475	14581
273	5496	14562
274	5516	14542
275	5536	14523
276	5557	14506
277	5577	14485
278	5584	14432
279	5604	14411
280	5622	14387
281	5642	14365
282	5661	14342
283	5680	14321
284	5700	14301
285	5719	14279
286	5740	14262
287	5760	14240
288	5779	14217
289	5799	14199
290	5818	14176
291	5838	14156
292	5857	14135
293	5869	14094
294	5889	14074
295	5909	14054
296	5970	14132
297	5991	14114
298	6011	14094
299	6031	14072
300	6050	14050
301	6070	14030
302	6091	14013
303	6113	13997
304	6135	13981
305	6158	13967
306	6181	13952
307	6205	13941
308	6227	13927
309	6250	13912
310	6274	13899
311	6296	13885
312	6318	13867
313	6341	13853
314	6363	13838
315	6386	13822
316	6409	13809
317	6430	13792
318	6453	13776
319	6472	13754
320	6492	13733
321	6512	13713
322	6532	13692
323	6552	13671
324	6573	13652
325	6595	13635
326	6618	13622
327	6627	13577
328	6650	13562
329	6673	13548
330	6695	13531
331	6719	13518
332	6741	13503
333	6786	13533
334	6810	13519
335	6832	13503
336	6854	13485
337	6877	13470
338	6900	13455
339	6923	13438
340	6945	13422
341	6968	13407
342	6990	13389
343	7011	13371
344	7033	13352
345	7055	13336
346	7077	13317
347	7100	13302
348	7122	13285
349	7146	13272
350	7168	13254
351	7189	13236
352	7212	13220
353	7235	13203
354	7258	13187
355	7280	13169
356	7302	13152
357	7324	13135
358	7346	13117
359	7369	13100
360	7391	13083
361	7412	13064
362	7434	13046
363	7457	13029
364	7479	13011
365	7501	12993
366	7524	12979
367	7547	12961
368	7568	12942
369	7590	12924
370	7615	12911
371	7636	12892
372	7661	12878
373	7683	12861
374	7705	12842
375	7726	12822
376	7749	12805
377	7771	12787
378	7794	12770
379	7816	12753
380	7839	12736
381	7861	12719
382	7883	12700
383	7906	12682
384	7926	12662
385	7952	12650
386	7977	12636
387	8000	12619
388	8022	12601
389	8044	12583
390	8067	12564
391	8090	12548
392	8113	12531
393	8135	12512
394	8158	12495
395	8179	12476
396	8202	12458
397	8227	12445
398	8249	12426
399	8271	12407
400	8293	12388
401	8315	12370
402	8338	12353
403	8361	12334
404	8383	12317
405	8405	12297
406	8426	12278
407	8448	12258
408	8461	12227
409	8484	12209
410	8506	12190
411	8528	12171
412	8550	12153
413	8572	12134
414	8597	12118
415	8618	12099
416	8640	12079
417	8663	12062
418	8686	12044
419	8710	12028
420	8732	12009
421	8760	11999
422	8783	11981
423	8806	11963
424	8829	11945
425	8852	11927
426	8873	11907
427	8896	11889
428	8924	11878
429	8963	11881
430	8990	11868
431	9013	11851
432	9036	11832
433	9059	11814
434	9072	11783
435	9094	11764
436	9116	11745
437	9139	11726
438	9165	11712
439	9190	11697
440	9215	11680
441	9240	11665
442	9262	11646
443	9285	11628
444	9309	11610
445	9333	11593
446	9357	11577
447	9389	11569
448	9412	11550
449	9433	11530
450	9458	11513
451	9484	11498
452	9508	11481
453	9532	11464
454	9556	11446
455	9580	11429
456	9607	11415
457	9632	11398
458	9657	11383
459	9680	11364
460	9704	11346
461	9730	11331
462	9755	11314
463	9780	11297
464	9804	11279
465	9827	11261
466	9851	11244
467	9877	11227
468	9901	11210
469	9926	11193
470	9951	11176
471	9975	11159
472	9999	11141
473	10023	11123
474	10047	11104
475	10067	11082
476	10080	11052
477	10099	11028
478	10121	11008
479	10142	10988
480	10159	10962
481	10181	10941
482	10207	10926
483	10231	10907
484	10251	10885
485	10272	10864
486	10293	10843
487	10315	10822
488	10336	10801
489	10357	10780
490	10378	10758
491	10398	10736
492	10417	10713
493	10438	10691
494	10458	10669
495	10478	10647
496	10499	10626
497	10520	10604
498	10540	10582
499	10560	10560
500	10581	10538
501	10602	10517
502	10623	10497
503	10645	10476
504	10666	10455
505	10687	10433
506	10707	10411
507	10727	10389
508	10747	10367
509	10767	10345
510	10789	10324
511	10812	10305
512	10836	10287
513	10858	10267
514	10881	10247
515	10903	10227
516	10922	10204
517	10945	10184
518	10968	10165
519	10992	10146
520	11014	10126
521	11036	10106
522	11056	10084
523	11063	10050
524	11083	10028
525	11103	10005
526	11122	9983
527	11141	9960
528	11162	9938
529	11183	9917
530	11204	9896
531	11224	9873
532	11244	9851
533	11263	9829
534	11283	9807
535	11303	9785
536	11325	9765
537	11350	9747
538	11374	9728
539	11395	9707
540	11417	9686
541	11439	9666
542	11460	9645
543	11482	9625
544	11503	9603
545	11549	9603
546	11577	9587
547	11613	9579
548	11644	9565
549	11667	9546
550	11687	9523
551	11707	9501
552	11728	9480
553	11749	9458
554	11776	9442
555	11800	9423
556	11824	9404
557	11847	9384
558	11872	9366
559	11896	9347
560	11920	9328
561	11943	9308
562	11965	9287
563	11984	9264
564	12005	9242
565	12026	9221
566	12046	9199
567	12067	9178
568	12086	9155
569	12106	9133
570	12128	9112
571	12149	9090
572	12175	9073
573	12198	9053
574	12219	9031
575	12240	9010
576	12260	8988
577	12282	8967
578	12305	8947
579	12326	8926
580	12347	8904
581	12371	8885
582	12393	8864
583	12414	8843
584	12438	8823
585	12461	8803
586	12484	8783
587	12505	8762
588	12526	8740
589	12547	8719
590	12568	8698
591	12590	8676
592	12611	8656
593	12632	8634
594	12654	8613
595	12673	8591
596	12696	8570
597	12725	8554
598	12746	8533
599	12769	8513
600	12796	8495
601	12824	8478
602	12856	8464
603	12896	8454
604	12927	8440
605	12956	8423
606	12986	8408
607	13033	8402
608	13060	8385
609	13088	8368
610	13115	8349
611	13144	8333
612	13165	8311
613	13186	8289
614	13207	8268
615	13229	8246
616	13250	8225
617	13257	8195
618	13280	8174
619	13301	8152
620	13320	8129
